second|adCount
0|0
1|0
2|0
3|15
4|15
5|15
6|15
7|15
8|30
9|30
10|30
11|30
12|30
13|45
14|45
15|45
16|45
17|61
18|61
19|61
20|61
21|61
22|76
23|76
24|76
25|76
26|91
27|91
28|91
29|91
30|107
31|107
32|107
33|107
34|122
35|122
36|122
37|122
38|137
39|137
40|137
41|137
42|153
43|153
44|153
45|168
46|168
47|168
48|168
49|183
50|183
51|183
52|198
53|198
54|198
55|198
56|214
57|214
58|214
59|229
60|229
61|229
62|244
63|244
64|244
65|260
66|260
67|260
68|275
69|275
70|275
71|290
72|290
73|290
74|290
75|306
76|306
77|321
78|321
79|321
80|336
81|336
82|336
83|351
84|351
85|351
86|367
87|367
88|367
89|382
90|382
91|382
92|397
93|397
94|413
95|413
96|413
97|428
98|428
99|428
100|443
101|443
102|459
103|459
104|459
105|474
106|474
107|489
108|489
109|489
110|504
111|504
112|520
113|520
114|520
115|535
116|535
117|550
118|550
119|566
120|566
121|566
122|581
123|581
124|596
125|596
126|612
127|612
128|612
129|627
130|627
131|642
132|642
133|657
134|657
135|673
136|673
137|673
138|688
139|688
140|703
141|703
142|719
143|719
144|734
145|734
146|749
147|749
148|765
149|765
150|780
151|780
152|795
153|795
154|810
155|810
156|826
157|826
158|826
159|841
160|841
161|856
162|872
163|872
164|887
165|887
166|902
167|902
168|918
169|918
170|933
171|933
172|948
173|948
174|963
175|963
176|979
177|979
178|994
179|994
180|1009
181|1009
182|1025
183|1040
184|1040
185|1055
186|1055
187|1071
188|1071
189|1086
190|1086
191|1101
192|1117
193|1117
194|1132
195|1132
196|1147
197|1147
198|1162
199|1178
200|1178
201|1193
202|1193
203|1208
204|1208
205|1224
206|1239
207|1239
208|1254
209|1254
210|1270
211|1285
212|1285
213|1300
214|1300
215|1315
216|1331
217|1331
218|1346
219|1346
220|1361
221|1377
222|1377
223|1392
224|1407
225|1407
226|1423
227|1423
228|1438
229|1453
230|1453
231|1468
232|1484
233|1484
234|1499
235|1514
236|1514
237|1530
238|1545
239|1545
240|1560
241|1576
242|1576
243|1591
244|1606
245|1606
246|1621
247|1637
248|1637
249|1652
250|1667
251|1667
252|1683
253|1698
254|1698
255|1713
256|1729
257|1729
258|1744
259|1759
260|1759
261|1774
262|1790
263|1790
264|1805
265|1820
266|1836
267|1836
268|1851
269|1866
270|1866
271|1882
272|1897
273|1912
274|1912
275|1927
276|1943
277|1958
278|1958
279|1973
280|1989
281|1989
282|2004
283|2019
284|2035
285|2035
286|2050
287|2065
288|2081
289|2081
290|2096
291|2111
292|2126
293|2126
294|2142
295|2157
296|2172
297|2172
298|2188
299|2203
300|2218
301|2234
302|2234
303|2249
304|2264
305|2279
306|2279
307|2295
308|2310
309|2325
310|2341
311|2341
312|2356
313|2371
314|2387
315|2402
316|2402
317|2417
318|2432
319|2448
320|2463
321|2463
322|2478
323|2494
324|2509
325|2524
326|2540
327|2540
328|2555
329|2570
330|2585
331|2601
332|2616
333|2616
334|2631
335|2647
336|2662
337|2677
338|2693
339|2693
340|2708
341|2723
342|2738
343|2754
344|2769
345|2784
346|2784
347|2800
348|2815
349|2830
350|2846
351|2861
352|2876
353|2891
354|2891
355|2907
356|2922
357|2937
358|2953
359|2968
360|2983
361|2999
362|2999
363|3014
364|3029
365|3045
366|3060
367|3075
368|3090
369|3106
370|3121
371|3136
372|3152
373|3152
374|3167
375|3182
376|3198
377|3213
378|3228
379|3243
380|3259
381|3274
382|3289
383|3305
384|3320
385|3335
386|3335
387|3351
388|3366
389|3381
390|3396
391|3412
392|3427
393|3442
394|3458
395|3473
396|3488
397|3504
398|3519
399|3534
400|3549
401|3565
402|3580
403|3595
404|3611
405|3626
406|3641
407|3657
408|3672
409|3687
410|3702
411|3718
412|3733
413|3748
414|3764
415|3779
416|3794
417|3810
418|3825
419|3840
420|3855
421|3871
422|3886
423|3901
424|3917
425|3932
426|3947
427|3963
428|3978
429|3993
430|4009
431|4024
432|4039
433|4054
434|4070
435|4085
436|4100
437|4116
438|4131
439|4146
440|4162
441|4177
442|4192
443|4207
444|4223
445|4238
446|4253
447|4269
448|4299
449|4315
450|4330
451|4345
452|4360
453|4376
454|4391
455|4406
456|4422
457|4437
458|4468
459|4483
460|4498
461|4513
