"Time","flink-taskmanager-658b48fc8c-nrb28"
2023-02-20 15:55:45,0.690
2023-02-20 15:56:00,0.712
2023-02-20 15:56:15,0.722
2023-02-20 15:56:30,0.713
2023-02-20 15:56:45,0.716
2023-02-20 15:57:00,0.722
2023-02-20 15:57:15,0.731
2023-02-20 15:57:30,0.741
2023-02-20 15:57:45,0.744
2023-02-20 15:58:00,0.735
2023-02-20 15:58:15,0.747
2023-02-20 15:58:30,0.751
2023-02-20 15:58:45,0.765
2023-02-20 15:59:00,0.776
2023-02-20 15:59:15,0.781
2023-02-20 15:59:30,0.785
2023-02-20 15:59:45,0.792
2023-02-20 16:00:00,0.798
2023-02-20 16:00:15,0.802
2023-02-20 16:00:30,0.810
2023-02-20 16:00:45,0.814
2023-02-20 16:01:00,0.815
2023-02-20 16:01:15,0.823
2023-02-20 16:01:30,0.829
2023-02-20 16:01:45,0.832
2023-02-20 16:02:00,0.837
2023-02-20 16:02:15,0.838
2023-02-20 16:02:30,0.845
2023-02-20 16:02:45,0.847
2023-02-20 16:03:00,0.856
2023-02-20 16:03:15,0.869
2023-02-20 16:03:30,0.889
2023-02-20 16:03:45,0.899
2023-02-20 16:04:00,0.901
2023-02-20 16:04:15,0.906
2023-02-20 16:04:30,0.920
2023-02-20 16:04:45,0.929
2023-02-20 16:05:00,0.929
2023-02-20 16:05:15,0.920
2023-02-20 16:05:30,0.903
2023-02-20 16:05:45,0.899
2023-02-20 16:06:00,0.915
2023-02-20 16:06:15,0.929
2023-02-20 16:06:30,0.929
2023-02-20 16:06:45,0.931
2023-02-20 16:07:00,0.932
2023-02-20 16:07:15,0.929
2023-02-20 16:07:30,0.929
2023-02-20 16:07:45,0.936
2023-02-20 16:08:00,0.936
2023-02-20 16:08:15,0.922
2023-02-20 16:08:30,0.915
2023-02-20 16:08:45,0.909
2023-02-20 16:09:00,0.903
2023-02-20 16:09:15,0.900
2023-02-20 16:09:30,0.899
2023-02-20 16:09:45,0.887
2023-02-20 16:10:00,0.875
2023-02-20 16:10:15,0.886
2023-02-20 16:10:30,0.873
2023-02-20 16:10:45,0.869
2023-02-20 16:11:00,0.888
2023-02-20 16:11:15,0.898
2023-02-20 16:11:30,0.910
2023-02-20 16:11:45,0.922
2023-02-20 16:12:00,0.913
2023-02-20 16:12:15,0.898
2023-02-20 16:12:30,0.898
2023-02-20 16:12:45,0.891
2023-02-20 16:13:00,0.868
2023-02-20 16:13:15,0.852
2023-02-20 16:13:30,0.833
2023-02-20 16:13:45,0.816
2023-02-20 16:14:00,0.829
2023-02-20 16:14:15,0.821
2023-02-20 16:14:30,0.825
2023-02-20 16:14:45,0.815
2023-02-20 16:15:00,0.807
2023-02-20 16:15:15,0.802
2023-02-20 16:15:30,0.791
2023-02-20 16:15:45,0.780
2023-02-20 16:16:00,0.751
2023-02-20 16:16:15,0.745
2023-02-20 16:16:30,0.738
2023-02-20 16:16:45,0.728
2023-02-20 16:17:00,0.736
2023-02-20 16:17:15,0.729
2023-02-20 16:17:30,0.747
2023-02-20 16:17:45,0.759
2023-02-20 16:18:00,0.751
2023-02-20 16:18:15,0.740
2023-02-20 16:18:30,0.719
2023-02-20 16:18:45,0.717
2023-02-20 16:19:00,0.708
2023-02-20 16:19:15,0.719
2023-02-20 16:19:30,0.685
