"Time","flink-taskmanager-658b48fc8c-nrb28"
2023-02-20 15:55:45,36585
2023-02-20 15:56:00,37358
2023-02-20 15:56:15,37900
2023-02-20 15:56:30,38434
2023-02-20 15:56:45,39196
2023-02-20 15:57:00,39464
2023-02-20 15:57:15,39950
2023-02-20 15:57:30,40420
2023-02-20 15:57:45,40874
2023-02-20 15:58:00,41353
2023-02-20 15:58:15,41818
2023-02-20 15:58:30,42268
2023-02-20 15:58:45,42746
2023-02-20 15:59:00,43289
2023-02-20 15:59:15,43707
2023-02-20 15:59:30,44114
2023-02-20 15:59:45,44445
2023-02-20 16:00:00,44655
2023-02-20 16:00:15,45081
2023-02-20 16:00:30,45029
2023-02-20 16:00:45,45673
2023-02-20 16:01:00,46156
2023-02-20 16:01:15,46446
2023-02-20 16:01:30,46870
2023-02-20 16:01:45,47050
2023-02-20 16:02:00,47390
2023-02-20 16:02:15,47541
2023-02-20 16:02:30,47433
2023-02-20 16:02:45,48065
2023-02-20 16:03:00,48112
2023-02-20 16:03:15,47600
2023-02-20 16:03:30,47763
2023-02-20 16:03:45,48988
2023-02-20 16:04:00,49238
2023-02-20 16:04:15,50321
2023-02-20 16:04:30,49393
2023-02-20 16:04:45,49449
2023-02-20 16:05:00,49465
2023-02-20 16:05:15,49642
2023-02-20 16:05:30,51208
2023-02-20 16:05:45,49981
2023-02-20 16:06:00,48302
2023-02-20 16:06:15,47285
2023-02-20 16:06:30,47825
2023-02-20 16:06:45,49220
2023-02-20 16:07:00,51051
2023-02-20 16:07:15,52048
2023-02-20 16:07:30,51404
2023-02-20 16:07:45,48436
2023-02-20 16:08:00,49393
2023-02-20 16:08:15,49713
2023-02-20 16:08:30,48894
2023-02-20 16:08:45,51045
2023-02-20 16:09:00,50011
2023-02-20 16:09:15,49274
2023-02-20 16:09:30,49836
2023-02-20 16:09:45,49135
2023-02-20 16:10:00,48215
2023-02-20 16:10:15,48342
2023-02-20 16:10:30,48292
2023-02-20 16:10:45,47536
2023-02-20 16:11:00,47883
2023-02-20 16:11:15,47806
2023-02-20 16:11:30,46747
2023-02-20 16:11:45,46103
2023-02-20 16:12:00,46797
2023-02-20 16:12:15,46002
2023-02-20 16:12:30,46355
2023-02-20 16:12:45,46675
2023-02-20 16:13:00,45379
2023-02-20 16:13:15,44963
2023-02-20 16:13:30,44547
2023-02-20 16:13:45,44175
2023-02-20 16:14:00,43077
2023-02-20 16:14:15,43356
2023-02-20 16:14:30,43119
2023-02-20 16:14:45,42512
2023-02-20 16:15:00,42748
2023-02-20 16:15:15,41596
2023-02-20 16:15:30,41152
2023-02-20 16:15:45,40669
2023-02-20 16:16:00,40198
2023-02-20 16:16:15,39702
2023-02-20 16:16:30,39203
2023-02-20 16:16:45,38688
2023-02-20 16:17:00,38105
2023-02-20 16:17:15,37664
2023-02-20 16:17:30,37035
2023-02-20 16:17:45,36598
2023-02-20 16:18:00,36113
2023-02-20 16:18:15,35502
2023-02-20 16:18:30,35042
2023-02-20 16:18:45,34389
2023-02-20 16:19:00,33838
2023-02-20 16:19:15,33257
2023-02-20 16:19:30,32697
2023-02-20 16:19:45,32117
2023-02-20 16:20:00,31535
2023-02-20 16:20:15,30956
2023-02-20 16:20:30,30363
2023-02-20 16:20:45,29802
2023-02-20 16:21:00,29198
2023-02-20 16:21:15,28627
2023-02-20 16:21:30,28035
2023-02-20 16:21:45,27440
2023-02-20 16:22:00,26879
2023-02-20 16:22:15,26274
2023-02-20 16:22:30,25687
2023-02-20 16:22:45,25094
2023-02-20 16:23:00,24477
2023-02-20 16:23:15,23905
2023-02-20 16:23:30,23337
2023-02-20 16:23:45,22765
2023-02-20 16:24:00,22219
2023-02-20 16:24:15,21634
2023-02-20 16:24:30,21056
2023-02-20 16:24:45,20480
2023-02-20 16:25:00,19929
2023-02-20 16:25:15,19381
2023-02-20 16:25:30,18837
2023-02-20 16:25:45,18302
2023-02-20 16:26:00,17759
2023-02-20 16:26:15,17234
2023-02-20 16:26:30,16704
2023-02-20 16:26:45,16214
2023-02-20 16:27:00,15704
2023-02-20 16:27:15,15210
2023-02-20 16:27:30,14722
