"Time","ad-events"
2023-02-20 15:55:45,35394
2023-02-20 15:56:00,35990
2023-02-20 15:56:15,36581
2023-02-20 15:56:30,37149
2023-02-20 15:56:45,37686
2023-02-20 15:57:00,38235
2023-02-20 15:57:15,38754
2023-02-20 15:57:30,39268
2023-02-20 15:57:45,39775
2023-02-20 15:58:00,40257
2023-02-20 15:58:15,40752
2023-02-20 15:58:30,41213
2023-02-20 15:58:45,41690
2023-02-20 15:59:00,42135
2023-02-20 15:59:15,42559
2023-02-20 15:59:30,42999
2023-02-20 15:59:45,43430
2023-02-20 16:00:00,43815
2023-02-20 16:00:15,44232
2023-02-20 16:00:30,44613
2023-02-20 16:00:45,44981
2023-02-20 16:01:00,45328
2023-02-20 16:01:15,45680
2023-02-20 16:01:30,46022
2023-02-20 16:01:45,46333
2023-02-20 16:02:00,46650
2023-02-20 16:02:15,46945
2023-02-20 16:02:30,47233
2023-02-20 16:02:45,47492
2023-02-20 16:03:00,47761
2023-02-20 16:03:15,47987
2023-02-20 16:03:30,48240
2023-02-20 16:03:45,48440
2023-02-20 16:04:00,48652
2023-02-20 16:04:15,48828
2023-02-20 16:04:30,48993
2023-02-20 16:04:45,49151
2023-02-20 16:05:00,49284
2023-02-20 16:05:15,49415
2023-02-20 16:05:30,49535
2023-02-20 16:05:45,49624
2023-02-20 16:06:00,49707
2023-02-20 16:06:15,49775
2023-02-20 16:06:30,49824
2023-02-20 16:06:45,49852
2023-02-20 16:07:00,49880
2023-02-20 16:07:15,49873
2023-02-20 16:07:30,49868
2023-02-20 16:07:45,49833
2023-02-20 16:08:00,49790
2023-02-20 16:08:15,49741
2023-02-20 16:08:30,49674
2023-02-20 16:08:45,49583
2023-02-20 16:09:00,49469
2023-02-20 16:09:15,49354
2023-02-20 16:09:30,49232
2023-02-20 16:09:45,49070
2023-02-20 16:10:00,48924
2023-02-20 16:10:15,48734
2023-02-20 16:10:30,48551
2023-02-20 16:10:45,48328
2023-02-20 16:11:00,48122
2023-02-20 16:11:15,47887
2023-02-20 16:11:30,47640
2023-02-20 16:11:45,47376
2023-02-20 16:12:00,47099
2023-02-20 16:12:15,46816
2023-02-20 16:12:30,46502
2023-02-20 16:12:45,46185
2023-02-20 16:13:00,45855
2023-02-20 16:13:15,45523
2023-02-20 16:13:30,45173
2023-02-20 16:13:45,44805
2023-02-20 16:14:00,44432
2023-02-20 16:14:15,44025
2023-02-20 16:14:30,43633
2023-02-20 16:14:45,43222
2023-02-20 16:15:00,42805
2023-02-20 16:15:15,42366
2023-02-20 16:15:30,41915
2023-02-20 16:15:45,41475
2023-02-20 16:16:00,41015
2023-02-20 16:16:15,40538
2023-02-20 16:16:30,40064
2023-02-20 16:16:45,39576
2023-02-20 16:17:00,39068
2023-02-20 16:17:15,38556
2023-02-20 16:17:30,38053
2023-02-20 16:17:45,37537
2023-02-20 16:18:00,37005
2023-02-20 16:18:15,36468
2023-02-20 16:18:30,35918
2023-02-20 16:18:45,35388
2023-02-20 16:19:00,34836
2023-02-20 16:19:15,34273
2023-02-20 16:19:30,33709
2023-02-20 16:19:45,33157
2023-02-20 16:20:00,32582
2023-02-20 16:20:15,32008
2023-02-20 16:20:30,31435
2023-02-20 16:20:45,30862
2023-02-20 16:21:00,30281
2023-02-20 16:21:15,29702
2023-02-20 16:21:30,29109
2023-02-20 16:21:45,28528
2023-02-20 16:22:00,27939
2023-02-20 16:22:15,27351
2023-02-20 16:22:30,26775
2023-02-20 16:22:45,26192
2023-02-20 16:23:00,25600
2023-02-20 16:23:15,25018
2023-02-20 16:23:30,24434
2023-02-20 16:23:45,23850
2023-02-20 16:24:00,23286
2023-02-20 16:24:15,22705
2023-02-20 16:24:30,22137
2023-02-20 16:24:45,21573
2023-02-20 16:25:00,21012
2023-02-20 16:25:15,20440
2023-02-20 16:25:30,19899
2023-02-20 16:25:45,19346
2023-02-20 16:26:00,18803
2023-02-20 16:26:15,18257
2023-02-20 16:26:30,17747
2023-02-20 16:26:45,17209
2023-02-20 16:27:00,16699
2023-02-20 16:27:15,16174
2023-02-20 16:27:30,15689
2023-02-20 16:27:45,15190
2023-02-20 16:28:00,14711
2023-02-20 16:28:15,14222
2023-02-20 16:28:30,13771
2023-02-20 16:28:45,13297
2023-02-20 16:29:00,12864
2023-02-20 16:29:15,12422
2023-02-20 16:29:30,11997
2023-02-20 16:29:45,11572
2023-02-20 16:30:00,11166
2023-02-20 16:30:15,10781
2023-02-20 16:30:30,10385
2023-02-20 16:30:45,10024
2023-02-20 16:31:00,9663
2023-02-20 16:31:15,9300
2023-02-20 16:31:30,8984
2023-02-20 16:31:45,8658
2023-02-20 16:32:00,8342
2023-02-20 16:32:15,8055
2023-02-20 16:32:30,7760
2023-02-20 16:32:45,7493
2023-02-20 16:33:00,7233
2023-02-20 16:33:15,7002
2023-02-20 16:33:30,6770
2023-02-20 16:33:45,6553
2023-02-20 16:34:00,6354
2023-02-20 16:34:15,6179
2023-02-20 16:34:30,6008
2023-02-20 16:34:45,5845
2023-02-20 16:35:00,5706
2023-02-20 16:35:15,5587
2023-02-20 16:35:30,5467
2023-02-20 16:35:45,5362
2023-02-20 16:36:00,5303
2023-02-20 16:36:15,5234
2023-02-20 16:36:30,5184
2023-02-20 16:36:45,5144
2023-02-20 16:37:00,5115
2023-02-20 16:37:15,5123
2023-02-20 16:37:30,5126
2023-02-20 16:37:45,5161
2023-02-20 16:38:00,5209
2023-02-20 16:38:15,5255
2023-02-20 16:38:30,5336
2023-02-20 16:38:45,5420
2023-02-20 16:39:00,5523
2023-02-20 16:39:15,5646
2023-02-20 16:39:30,5780
2023-02-20 16:39:45,5924
2023-02-20 16:40:00,6082
2023-02-20 16:40:15,6259
2023-02-20 16:40:30,6461
2023-02-20 16:40:45,6663
2023-02-20 16:41:00,6884
2023-02-20 16:41:15,7119
2023-02-20 16:41:30,7356
2023-02-20 16:41:45,7635
2023-02-20 16:42:00,7911
2023-02-20 16:42:15,8202
2023-02-20 16:42:30,8480
2023-02-20 16:42:45,8806
2023-02-20 16:43:00,9141
2023-02-20 16:43:15,9492
2023-02-20 16:43:30,9835
2023-02-20 16:43:45,10205
2023-02-20 16:44:00,10579
2023-02-20 16:44:15,10968
2023-02-20 16:44:30,11362
2023-02-20 16:44:45,11787
2023-02-20 16:45:00,12196
2023-02-20 16:45:15,12632
2023-02-20 16:45:30,13067
2023-02-20 16:45:45,13531
2023-02-20 16:46:00,13993
2023-02-20 16:46:15,14468
2023-02-20 16:46:30,14930
2023-02-20 16:46:45,15425
2023-02-20 16:47:00,15937
2023-02-20 16:47:15,16428
2023-02-20 16:47:30,16949
2023-02-20 16:47:45,17451
2023-02-20 16:48:00,17999
2023-02-20 16:48:15,18531
2023-02-20 16:48:30,19069
2023-02-20 16:48:45,19607
2023-02-20 16:49:00,20160
2023-02-20 16:49:15,20724
2023-02-20 16:49:30,21279
2023-02-20 16:49:45,21835
2023-02-20 16:50:00,22416

