"Time","Value"
2023-02-19 14:24:45,0.764
2023-02-19 14:25:00,0.795
2023-02-19 14:25:15,0.787
2023-02-19 14:25:30,0.801
2023-02-19 14:25:45,0.797
2023-02-19 14:26:00,0.768
2023-02-19 14:26:15,0.775
2023-02-19 14:26:30,0.766
2023-02-19 14:26:45,0.770
2023-02-19 14:27:00,0.788
2023-02-19 14:27:15,0.788
2023-02-19 14:27:30,0.798
2023-02-19 14:27:45,0.810
2023-02-19 14:28:00,0.807
2023-02-19 14:28:15,0.814
2023-02-19 14:28:30,0.798
2023-02-19 14:28:45,0.783
2023-02-19 14:29:00,0.790
2023-02-19 14:29:15,0.790
2023-02-19 14:29:30,0.794
2023-02-19 14:29:45,0.808
2023-02-19 14:30:00,0.779
2023-02-19 14:30:15,0.770
2023-02-19 14:30:30,0.794
2023-02-19 14:30:45,0.796
2023-02-19 14:31:00,0.815
2023-02-19 14:31:15,0.822
2023-02-19 14:31:30,0.798
2023-02-19 14:31:45,0.782
2023-02-19 14:32:00,0.797
2023-02-19 14:32:15,0.802
2023-02-19 14:32:30,0.831
2023-02-19 14:32:45,0.843
2023-02-19 14:33:00,0.833
2023-02-19 14:33:15,0.826
2023-02-19 14:33:30,0.799
2023-02-19 14:33:45,0.781
2023-02-19 14:34:00,0.789
2023-02-19 14:34:15,0.794
2023-02-19 14:34:30,0.809
2023-02-19 14:34:45,0.834
2023-02-19 14:35:00,0.831
2023-02-19 14:35:15,0.828
2023-02-19 14:35:30,0.836
2023-02-19 14:35:45,0.817
2023-02-19 14:36:00,0.807
2023-02-19 14:36:15,0.802
2023-02-19 14:36:30,0.791
2023-02-19 14:36:45,0.800
2023-02-19 14:37:00,0.814
2023-02-19 14:37:15,0.822
2023-02-19 14:37:30,0.827
2023-02-19 14:37:45,0.831
2023-02-19 14:38:00,0.830
2023-02-19 14:38:15,0.818
2023-02-19 14:38:30,0.798
2023-02-19 14:38:45,0.805
2023-02-19 14:39:00,0.788
2023-02-19 14:39:15,0.790
2023-02-19 14:39:30,0.810
2023-02-19 14:39:45,0.815
2023-02-19 14:40:00,0.833

