"Time","Value"
2023-02-19 14:24:45,437935
2023-02-19 14:25:00,464671
2023-02-19 14:25:15,464982
2023-02-19 14:25:30,482018
2023-02-19 14:25:45,470183
2023-02-19 14:26:00,462714
2023-02-19 14:26:15,473644
2023-02-19 14:26:30,463055
2023-02-19 14:26:45,478059
2023-02-19 14:27:00,472055
2023-02-19 14:27:15,465050
2023-02-19 14:27:30,476407
2023-02-19 14:27:45,481322
2023-02-19 14:28:00,498142
2023-02-19 14:28:15,508637
2023-02-19 14:28:30,496979
2023-02-19 14:28:45,489956
2023-02-19 14:29:00,476633
2023-02-19 14:29:15,467390
2023-02-19 14:29:30,479218
2023-02-19 14:29:45,480733
2023-02-19 14:30:00,477777
2023-02-19 14:30:15,486665
2023-02-19 14:30:30,480147
2023-02-19 14:30:45,494482
2023-02-19 14:31:00,496601
2023-02-19 14:31:15,493366
2023-02-19 14:31:30,498244
2023-02-19 14:31:45,465562
2023-02-19 14:32:00,471089
2023-02-19 14:32:15,486297
2023-02-19 14:32:30,484512
2023-02-19 14:32:45,512309
2023-02-19 14:33:00,515529
2023-02-19 14:33:15,501921
2023-02-19 14:33:30,504019
2023-02-19 14:33:45,484964
2023-02-19 14:34:00,492492
2023-02-19 14:34:15,493299
2023-02-19 14:34:30,494601
2023-02-19 14:34:45,518988
2023-02-19 14:35:00,508704
2023-02-19 14:35:15,516628
2023-02-19 14:35:30,525406
2023-02-19 14:35:45,504324
2023-02-19 14:36:00,507062
2023-02-19 14:36:15,494916
2023-02-19 14:36:30,476175
2023-02-19 14:36:45,486147
2023-02-19 14:37:00,482094
2023-02-19 14:37:15,490963
2023-02-19 14:37:30,500817
2023-02-19 14:37:45,493210
2023-02-19 14:38:00,506759
2023-02-19 14:38:15,496896
2023-02-19 14:38:30,485334
2023-02-19 14:38:45,502975
2023-02-19 14:39:00,481942
2023-02-19 14:39:15,484249
2023-02-19 14:39:30,495790
2023-02-19 14:39:45,483465
2023-02-19 14:40:00,506679

