"Time","flink-taskmanager-658b48fc8c-nrb28"
2023-02-22 11:10:00,11875
2023-02-22 11:10:15,9796
2023-02-22 11:10:30,9022
2023-02-22 11:10:45,8200
2023-02-22 11:11:00,7355
2023-02-22 11:11:15,6249
2023-02-22 11:11:30,5321
2023-02-22 11:11:45,4708
2023-02-22 11:12:00,4336
2023-02-22 11:12:15,4053
2023-02-22 11:12:30,3949
2023-02-22 11:12:45,3701
2023-02-22 11:13:00,3565
2023-02-22 11:13:15,3544
2023-02-22 11:13:30,3471
2023-02-22 11:13:45,3304
2023-02-22 11:14:00,3314
2023-02-22 11:14:15,3358
2023-02-22 11:14:30,3447
2023-02-22 11:14:45,3587
2023-02-22 11:15:00,3477
2023-02-22 11:15:15,3475
2023-02-22 11:15:30,3484
2023-02-22 11:15:45,3535
2023-02-22 11:16:00,3659
2023-02-22 11:16:15,3664
2023-02-22 11:16:30,3540
2023-02-22 11:16:45,3492
2023-02-22 11:17:00,3395
2023-02-22 11:17:15,3175
2023-02-22 11:17:30,3087
2023-02-22 11:17:45,2907
2023-02-22 11:18:00,2789
2023-02-22 11:18:15,2807
2023-02-22 11:18:30,2818
2023-02-22 11:18:45,2849
2023-02-22 11:19:00,2888
2023-02-22 11:19:15,2877
2023-02-22 11:19:30,2902
2023-02-22 11:19:45,2928
2023-02-22 11:20:00,2950
2023-02-22 11:20:15,3006
2023-02-22 11:20:30,3017
2023-02-22 11:20:45,3080
2023-02-22 11:21:00,3059
2023-02-22 11:21:15,3032
2023-02-22 11:21:30,3067
2023-02-22 11:21:45,3014
2023-02-22 11:22:00,3023
2023-02-22 11:22:15,3073
2023-02-22 11:22:30,3101
2023-02-22 11:22:45,3139
2023-02-22 11:23:00,3176
2023-02-22 11:23:15,3161
2023-02-22 11:23:30,3159
2023-02-22 11:23:45,3186
2023-02-22 11:24:00,3337
2023-02-22 11:24:15,3398
2023-02-22 11:24:30,3486
2023-02-22 11:24:45,3505
2023-02-22 11:25:00,3399
2023-02-22 11:25:15,3652
2023-02-22 11:25:30,3843
2023-02-22 11:25:45,4165
2023-02-22 11:26:00,4632
2023-02-22 11:26:15,4931
2023-02-22 11:26:30,5492
2023-02-22 11:26:45,6307
2023-02-22 11:27:00,6914
2023-02-22 11:27:15,8054
2023-02-22 11:27:30,9713
2023-02-22 11:27:45,11552
2023-02-22 11:28:00,14429
2023-02-22 11:28:15,17563
2023-02-22 11:28:30,20978
2023-02-22 11:28:45,24700
2023-02-22 11:29:00,28652
2023-02-22 11:29:15,32519
2023-02-22 11:29:30,36658
2023-02-22 11:29:45,41119
2023-02-22 11:30:00,45395
2023-02-22 11:30:15,49872
2023-02-22 11:30:30,54211
2023-02-22 11:30:45,58664

