second|count
0|1986
1|1975
2|1964
3|1957
4|1949
5|1938
6|1931
7|1924
8|1909
9|1917
10|1898
11|1902
12|1898
13|1891
14|1884
15|1880
16|1869
17|1866
18|1858
19|1844
20|1829
21|1833
22|1833
23|1811
24|1818
25|1804
26|1815
27|1811
28|1785
29|1774
30|1793
31|1774
32|1789
33|1771
34|1774
35|1753
36|1749
37|1767
38|1745
39|1727
40|1723
41|1742
42|1694
43|1716
44|1665
45|1676
46|1661
47|1665
48|1643
49|1654
50|1647
51|1643
52|1647
53|1640
54|1647
55|1618
56|1632
57|1610
58|1578
59|1578
60|1607
61|1567
62|1607
63|1563
64|1581
65|1596
66|1574
67|1567
68|1516
69|1545
70|1527
71|1574
72|1538
73|1523
74|1479
75|1516
76|1468
77|1457
78|1457
79|1472
80|1461
81|1428
82|1450
83|1446
84|1425
85|1450
86|1410
87|1465
88|1425
89|1384
90|1388
91|1395
92|1355
93|1381
94|1359
95|1374
96|1436
97|1352
98|1363
99|1392
100|1344
101|1392
102|1374
103|1388
104|1344
105|1348
106|1333
107|1363
108|1384
109|1304
110|1366
111|1359
112|1333
113|1297
114|1293
115|1253
116|1293
117|1224
118|1264
119|1250
120|1315
121|1250
122|1323
123|1191
124|1293
125|1297
126|1220
127|1246
128|1217
129|1268
130|1173
131|1140
132|1199
133|1166
134|1261
135|1177
136|1166
137|1184
138|1184
139|1159
140|1082
141|1104
142|1162
143|1126
144|1202
145|1115
146|1060
147|1137
148|1089
149|1162
150|1082
151|1071
152|1097
153|1104
154|1137
155|1137
156|1111
157|995
158|1002
159|1104
160|1016
161|1111
162|1005
163|1067
164|1056
165|1002
166|965
167|1056
168|969
169|1082
170|1013
171|947
172|1027
173|943
174|929
175|882
176|1071
177|918
178|1002
179|896
180|954
181|965
182|980
183|871
184|1024
185|973
186|965
187|976
188|863
189|900
190|820
191|947
192|882
193|995
194|951
195|801
196|900
197|849
198|984
199|769
200|805
201|940
202|969
203|947
204|871
205|874
206|750
207|907
208|940
209|936
210|896
211|725
212|896
213|747
214|739
215|736
216|747
217|699
218|863
219|765
220|725
221|856
222|805
223|907
224|823
225|863
226|728
227|798
228|769
229|648
230|761
231|754
232|790
233|739
234|645
235|787
236|641
237|652
238|677
239|707
240|823
241|692
242|714
243|718
244|721
245|626
246|841
247|619
248|830
249|652
250|769
251|612
252|743
253|750
254|681
255|568
256|681
257|809
258|626
259|594
260|812
261|747
262|696
263|568
264|739
265|747
266|623
267|743
268|725
269|532
270|623
271|564
272|597
273|572
274|681
275|535
276|615
277|550
278|539
279|586
280|765
281|696
282|572
283|488
284|615
285|546
286|583
287|532
288|579
289|761
290|721
291|473
292|535
293|535
294|510
295|681
296|455
297|521
298|437
299|626
300|539
301|634
302|477
303|502
304|506
305|462
306|645
307|459
308|492
309|459
310|721
311|564
312|557
313|462
314|634
315|448
316|696
317|707
318|506
319|645
320|634
321|462
322|437
323|433
324|510
325|448
326|499
327|553
328|535
329|608
330|532
331|648
332|601
333|579
334|634
335|681
336|382
337|353
338|397
339|408
340|506
341|379
342|670
343|543
344|506
345|484
346|637
347|521
348|462
349|484
350|419
351|506
352|448
353|579
354|379
355|368
356|641
357|477
358|404
359|521
360|338
361|426
362|528
363|448
364|543
365|510
366|612
367|513
368|550
369|280
370|338
371|495
372|371
373|389
374|357
375|532
376|346
377|302
378|426
379|353
380|484
381|521
382|397
383|608
384|535
385|455
386|495
387|411
388|335
389|258
390|426
391|430
392|393
393|477
394|546
395|502
396|492
397|309
398|335
399|532
400|287
401|528
402|364
403|481
404|273
405|338
406|451
407|338
408|517
409|284
410|269
411|386
412|295
413|524
414|222
415|295
416|280
417|459
418|437
419|313
420|535
421|415
422|441
423|364
424|535
425|255
426|484
427|510
428|521
429|404
430|287
431|400
432|419
433|189
434|353
435|470
436|393
437|546
438|371
439|178
440|426
441|346
442|397
443|251
444|149
445|393
446|193
447|426
448|182
449|182
450|371
451|386
452|430
453|160
454|408
455|506
456|182
457|120
458|488
459|357
460|400
461|477
462|397
463|174
464|357
465|280
466|346
467|357
468|368
469|444
470|510
471|247
472|200
473|473
474|131
475|109
476|211
477|233
478|123
479|164
480|160
481|437
482|451
483|411
484|153
485|258
486|408
487|422
488|495
489|470
490|386
491|167
492|335
493|364
494|200
495|127
496|258
497|127
498|477
499|160
500|422
501|298
502|426
503|338
504|415
505|284
506|182
507|109
508|419
509|83
510|120
511|142
512|72
513|233
514|211
515|215
516|112
517|98
518|441
519|346
520|338
521|415
522|459
523|360
524|47
525|94
526|324
527|149
528|40
529|419
530|470
531|422
532|313
533|207
534|244
535|419
536|40
537|76
538|426
539|298
540|43
541|87
542|331
543|470
544|313
545|204
546|455
547|94
548|415
549|109
550|29
551|382
552|145
553|91
554|43
555|328
556|43
557|455
558|287
559|72
560|328
561|87
562|433
563|134
564|441
565|404
566|229
567|233
568|404
569|266
570|54
571|196
572|116
573|91
574|36
575|284
576|171
577|368
578|298
579|120
580|244
581|375
582|269
583|276
584|368
585|83
586|18
587|302
588|196
589|142
590|360
591|98
592|54
593|171
594|182
595|360
596|61
597|346
598|7
599|123
600|397
601|309
602|142
603|393
604|0
605|368
606|368
607|116
608|400
609|167
610|244
611|328
612|72
613|225
614|189
615|47
616|404
617|18
618|80
619|451
620|306
621|215
622|397
623|91
624|433
625|134
626|328
627|306
628|153
629|247
630|87
631|426
632|200
633|244
634|368
635|422
636|393
637|320
638|342
639|109
640|280
641|120
642|371
643|200
644|156
645|207
646|160
647|255
648|149
649|255
650|164
651|324
652|255
653|196
654|29
655|40
656|185
657|131
658|225
659|353
660|65
661|353
662|382
663|174
664|400
665|397
666|76
667|72
668|266
