"Time","ad-events"
2023-02-22 11:10:00,398
2023-02-22 11:10:15,505
2023-02-22 11:10:30,646
2023-02-22 11:10:45,829
2023-02-22 11:11:00,1030
2023-02-22 11:11:15,1265
2023-02-22 11:11:30,1561
2023-02-22 11:11:45,1869
2023-02-22 11:12:00,2201
2023-02-22 11:12:15,2592
2023-02-22 11:12:30,2998
2023-02-22 11:12:45,3435
2023-02-22 11:13:00,3920
2023-02-22 11:13:15,4422
2023-02-22 11:13:30,4956
2023-02-22 11:13:45,5516
2023-02-22 11:14:00,6114
2023-02-22 11:14:15,6757
2023-02-22 11:14:30,7406
2023-02-22 11:14:45,8095
2023-02-22 11:15:00,8809
2023-02-22 11:15:15,9552
2023-02-22 11:15:30,10321
2023-02-22 11:15:45,11109
2023-02-22 11:16:00,11947
2023-02-22 11:16:15,12784
2023-02-22 11:16:30,13681
2023-02-22 11:16:45,14565
2023-02-22 11:17:00,15497
2023-02-22 11:17:15,16441
2023-02-22 11:17:30,17408
2023-02-22 11:17:45,18418
2023-02-22 11:18:00,19425
2023-02-22 11:18:15,20470
2023-02-22 11:18:30,21526
2023-02-22 11:18:45,22585
2023-02-22 11:19:00,23699
2023-02-22 11:19:15,24806
2023-02-22 11:19:30,25951
2023-02-22 11:19:45,27081
2023-02-22 11:20:00,28262
2023-02-22 11:20:15,29426
2023-02-22 11:20:30,30618
2023-02-22 11:20:45,31835
2023-02-22 11:21:00,33055
2023-02-22 11:21:15,34279
2023-02-22 11:21:30,35514
2023-02-22 11:21:45,36770
2023-02-22 11:22:00,38025
2023-02-22 11:22:15,39297
2023-02-22 11:22:30,40578
2023-02-22 11:22:45,41845
2023-02-22 11:23:00,43134
2023-02-22 11:23:15,44414
2023-02-22 11:23:30,45721
2023-02-22 11:23:45,47026
2023-02-22 11:24:00,48329
2023-02-22 11:24:15,49619
2023-02-22 11:24:30,50934
2023-02-22 11:24:45,52229
2023-02-22 11:25:00,53532
2023-02-22 11:25:15,54826
2023-02-22 11:25:30,56119
2023-02-22 11:25:45,57404
2023-02-22 11:26:00,58698
2023-02-22 11:26:15,59973
2023-02-22 11:26:30,61248
2023-02-22 11:26:45,62500
2023-02-22 11:27:00,63767
2023-02-22 11:27:15,65017
2023-02-22 11:27:30,66251
2023-02-22 11:27:45,67458
2023-02-22 11:28:00,68688
2023-02-22 11:28:15,69872
2023-02-22 11:28:30,71058
2023-02-22 11:28:45,72248
2023-02-22 11:29:00,73392
2023-02-22 11:29:15,74538
2023-02-22 11:29:30,75662
2023-02-22 11:29:45,76763
2023-02-22 11:30:00,77850
2023-02-22 11:30:15,78925
2023-02-22 11:30:30,79979
2023-02-22 11:30:45,80987

