"Time","daedalus/flink-metrics","daedalus/flink-reactive-80-metrics","daedalus/flink-reactive-85-metrics","daedalus/flink-static-metrics"
2023-03-20 20:44:20,0.122,0.114,0.116,0.107
2023-03-20 20:44:40,0.126,0.118,0.127,0.112
2023-03-20 20:45:00,0.132,0.127,0.132,0.115
2023-03-20 20:45:20,0.140,0.135,0.142,0.114
2023-03-20 20:45:40,0.146,0.144,0.141,0.110
2023-03-20 20:46:00,0.152,0.148,0.148,0.106
2023-03-20 20:46:20,0.152,0.153,0.152,0.106
2023-03-20 20:46:40,0.157,0.158,0.160,0.106
2023-03-20 20:47:00,0.166,0.169,0.163,0.107
2023-03-20 20:47:20,0.174,0.175,0.171,0.106
2023-03-20 20:47:40,0.182,0.180,0.178,0.107
2023-03-20 20:48:00,0.186,0.181,0.185,0.109
2023-03-20 20:48:20,0.192,0.195,0.189,0.110
2023-03-20 20:48:40,0.199,0.204,0.195,0.113
2023-03-20 20:49:00,0.208,0.212,0.206,0.113
2023-03-20 20:49:20,0.220,0.211,0.222,0.117
2023-03-20 20:49:40,0.238,0.216,0.242,0.117
2023-03-20 20:50:00,0.248,0.228,0.256,0.122
2023-03-20 20:50:20,0.265,0.236,0.268,0.119
2023-03-20 20:50:40,0.271,0.254,0.277,0.123
2023-03-20 20:51:00,0.292,0.271,0.292,0.127
2023-03-20 20:51:20,0.302,0.295,0.301,0.132
2023-03-20 20:51:40,0.323,0.319,0.320,0.133
2023-03-20 20:52:00,0.349,0.349,0.338,0.133
2023-03-20 20:52:20,0.375,0.366,0.357,0.137
2023-03-20 20:52:40,0.404,0.388,0.378,0.144
2023-03-20 20:53:00,0.423,0.402,0.395,0.145
2023-03-20 20:53:20,0.463,0.427,0.442,0.147
2023-03-20 20:53:40,0.483,0.449,0.472,0.148
2023-03-20 20:54:00,0.516,0.473,0.499,0.157
2023-03-20 20:54:20,0.536,0.499,0.515,0.157
2023-03-20 20:54:40,0.574,0.518,0.547,0.162
2023-03-20 20:55:00,0.601,0.545,0.571,0.162
2023-03-20 20:55:20,0.637,0.580,0.595,0.166
2023-03-20 20:55:40,0.667,0.616,0.617,0.169
2023-03-20 20:56:00,0.822,0.652,0.655,0.176
2023-03-20 20:56:20,0.787,0.681,0.682,0.183
2023-03-20 20:56:40,0.789,0.722,0.716,0.186
2023-03-20 20:57:00,0.725,0.761,0.766,0.189
2023-03-20 20:57:20,0.667,0.810,0.810,0.197
2023-03-20 20:57:40,0.603,0.845,0.850,0.201
2023-03-20 20:58:00,0.587,0.884,0.888,0.207
2023-03-20 20:58:20,0.593,0.920,0.925,0.207
2023-03-20 20:58:40,0.606,0.956,0.957,0.212
2023-03-20 20:59:00,0.616,0.980,0.971,0.216
2023-03-20 20:59:20,0.637,0.988,0.983,0.222
2023-03-20 20:59:40,0.644,0.990,0.984,0.231
2023-03-20 21:00:00,0.656,0.989,0.982,0.241
2023-03-20 21:00:20,0.679,0.914,0.883,0.243
2023-03-20 21:00:40,0.704,0.867,0.856,0.245
2023-03-20 21:01:00,0.726,0.823,0.862,0.244
2023-03-20 21:01:20,0.748,0.829,0.919,0.251
2023-03-20 21:01:40,0.748,0.852,0.971,0.258
2023-03-20 21:02:00,0.738,0.876,0.969,0.266
2023-03-20 21:02:20,0.790,0.892,0.960,0.273
2023-03-20 21:02:40,0.798,0.922,0.948,0.273
2023-03-20 21:03:00,0.793,0.899,0.951,0.287
2023-03-20 21:03:20,0.779,0.904,0.942,0.295
2023-03-20 21:03:40,0.774,0.903,0.941,0.320
2023-03-20 21:04:00,0.782,0.939,0.934,0.331
2023-03-20 21:04:20,0.794,0.932,0.950,0.355
2023-03-20 21:04:40,0.800,0.926,0.959,0.364
2023-03-20 21:05:00,0.809,0.928,0.972,0.366
2023-03-20 21:05:20,0.821,0.950,0.979,0.371
2023-03-20 21:05:40,0.835,0.964,0.982,0.378
2023-03-20 21:06:00,0.844,0.971,0.982,0.386
2023-03-20 21:06:20,0.830,0.968,0.980,0.386
2023-03-20 21:06:40,0.801,0.973,0.979,0.388
2023-03-20 21:07:00,0.768,0.966,0.977,0.395
2023-03-20 21:07:20,0.774,0.850,0.916,0.397
2023-03-20 21:07:40,0.804,0.756,0.873,0.395
2023-03-20 21:08:00,0.826,0.790,0.832,0.396
2023-03-20 21:08:20,0.819,0.830,0.822,0.404
2023-03-20 21:08:40,0.822,0.906,0.834,0.410
2023-03-20 21:09:00,0.817,0.865,0.843,0.403
2023-03-20 21:09:20,0.823,0.849,0.837,0.411
2023-03-20 21:09:40,0.814,0.857,0.831,0.409
2023-03-20 21:10:00,0.831,0.878,0.819,0.422
2023-03-20 21:10:20,0.825,0.877,0.803,0.412
2023-03-20 21:10:40,0.839,0.870,0.794,0.419
2023-03-20 21:11:00,0.822,0.855,0.780,0.419
2023-03-20 21:11:20,0.831,0.823,0.776,0.412
2023-03-20 21:11:40,0.796,0.790,0.767,0.411
2023-03-20 21:12:00,0.754,0.763,0.767,0.417
2023-03-20 21:12:20,0.730,0.733,0.742,0.417
2023-03-20 21:12:40,0.738,0.708,0.733,0.421
2023-03-20 21:13:00,0.736,0.688,0.711,0.403
2023-03-20 21:13:20,0.700,0.679,0.750,0.408
2023-03-20 21:13:40,0.688,0.676,0.802,0.395
2023-03-20 21:14:00,0.674,0.675,0.834,0.411
2023-03-20 21:14:20,0.671,0.645,0.793,0.404
2023-03-20 21:14:40,0.665,0.725,0.738,0.424
2023-03-20 21:15:00,0.666,0.707,0.690,0.406
2023-03-20 21:15:20,0.644,0.695,0.682,0.417
2023-03-20 21:15:40,0.632,0.644,0.687,0.397
2023-03-20 21:16:00,0.606,0.575,0.653,0.394
2023-03-20 21:16:20,0.599,0.520,0.601,0.379
2023-03-20 21:16:40,0.621,0.481,0.554,0.379
2023-03-20 21:17:00,0.634,0.470,0.535,0.387
2023-03-20 21:17:20,0.614,0.441,0.499,0.382
2023-03-20 21:17:40,0.610,0.429,0.462,0.368
2023-03-20 21:18:00,0.561,0.416,0.423,0.363
2023-03-20 21:18:20,0.532,0.408,0.407,0.372
2023-03-20 21:18:40,0.518,0.392,0.398,0.376
2023-03-20 21:19:00,0.502,0.373,0.398,0.360
2023-03-20 21:19:20,0.486,0.360,0.391,0.351
2023-03-20 21:19:40,0.464,0.353,0.380,0.342
2023-03-20 21:20:00,0.456,0.340,0.362,0.342
2023-03-20 21:20:20,0.447,0.335,0.358,0.325
