second|adCount
0|50000
1|50017
2|50034
3|50052
4|50069
5|50087
6|50104
7|50122
8|50139
9|50157
10|50174
11|50191
12|50209
13|50226
14|50244
15|50261
16|50279
17|50296
18|50314
19|50331
20|50349
21|50366
22|50383
23|50401
24|50418
25|50436
26|50453
27|50471
28|50488
29|50506
30|50523
31|50541
32|50558
33|50575
34|50593
35|50610
36|50628
37|50645
38|50663
39|50680
40|50698
41|50715
42|50733
43|50750
44|50767
45|50785
46|50802
47|50820
48|50837
49|50855
50|50872
51|50890
52|50907
53|50924
54|50942
55|50959
56|50977
57|50994
58|51012
59|51029
60|51047
61|51064
62|51082
63|51099
64|51116
65|51134
66|51151
67|51169
68|51186
69|51204
70|51221
71|51239
72|51256
73|51273
74|51291
75|51308
76|51326
77|51343
78|51361
79|51378
80|51396
81|51413
82|51430
83|51448
84|51465
85|51483
86|51500
87|51518
88|51535
89|51553
90|51570
91|51587
92|51605
93|51622
94|51640
95|51657
96|51675
97|51692
98|51710
99|51727
100|51744
101|51762
102|51779
103|51797
104|51814
105|51832
106|51849
107|51867
108|51884
109|51901
110|51919
111|51936
112|51954
113|51971
114|51989
115|52006
116|52024
117|52041
118|52058
119|52076
120|52093
121|52111
122|52128
123|52146
124|52163
125|52180
126|52198
127|52215
128|52233
129|52250
130|52268
131|52285
132|52303
133|52320
134|52337
135|52355
136|52372
137|52390
138|52407
139|52425
140|52442
141|52459
142|52477
143|52494
144|52512
145|52529
146|52547
147|52564
148|52581
149|52599
150|52616
151|52634
152|52651
153|52669
154|52686
155|52703
156|52721
157|52738
158|52756
159|52773
160|52791
161|52808
162|52825
163|52843
164|52860
165|52878
166|52895
167|52913
168|52930
169|52947
170|52965
171|52982
172|53000
173|53017
174|53035
175|53052
176|53069
177|53087
178|53104
179|53122
180|53139
181|53156
182|53174
183|53191
184|53209
185|53226
186|53244
187|53261
188|53278
189|53296
190|53313
191|53331
192|53348
193|53365
194|53383
195|53400
196|53418
197|53435
198|53453
199|53470
200|53487
201|53505
202|53522
203|53540
204|53557
205|53574
206|53592
207|53609
208|53627
209|53644
210|53661
211|53679
212|53696
213|53714
214|53731
215|53748
216|53766
217|53783
218|53801
219|53818
220|53835
221|53853
222|53870
223|53888
224|53905
225|53922
226|53940
227|53957
228|53975
229|53992
230|54009
231|54027
232|54044
233|54062
234|54079
235|54096
236|54114
237|54131
238|54149
239|54166
240|54183
241|54201
242|54218
243|54236
244|54253
245|54270
246|54288
247|54305
248|54323
249|54340
250|54357
251|54375
252|54392
253|54409
254|54427
255|54444
256|54462
257|54479
258|54496
259|54514
260|54531
261|54549
262|54566
263|54583
264|54601
265|54618
266|54635
267|54653
268|54670
269|54688
270|54705
271|54722
272|54740
273|54757
274|54774
275|54792
276|54809
277|54827
278|54844
279|54861
280|54879
281|54896
282|54913
283|54931
284|54948
285|54965
286|54983
287|55000
288|55018
289|55035
290|55052
291|55070
292|55087
293|55104
294|55122
295|55139
296|55156
297|55174
298|55191
299|55209
300|55226
301|55243
302|55261
303|55278
304|55295
305|55313
306|55330
307|55347
308|55365
309|55382
310|55399
311|55417
312|55434
313|55452
314|55469
315|55486
316|55504
317|55521
318|55538
319|55556
320|55573
321|55590
322|55608
323|55625
324|55642
325|55660
326|55677
327|55694
328|55712
329|55729
330|55746
331|55764
332|55781
333|55798
334|55816
335|55833
336|55850
337|55868
338|55885
339|55902
340|55920
341|55937
342|55954
343|55972
344|55989
345|56006
346|56024
347|56041
348|56058
349|56076
350|56093
351|56110
352|56128
353|56145
354|56162
355|56180
356|56197
357|56214
