second|adCount
0|0
1|0
2|0
3|0
4|0
5|0
6|1
7|1
8|2
9|3
10|3
11|4
12|5
13|6
14|7
15|8
16|9
17|11
18|12
19|13
20|15
21|16
22|18
23|20
24|21
25|23
26|25
27|27
28|29
29|32
30|34
31|36
32|38
33|41
34|44
35|46
36|49
37|52
38|54
39|57
40|60
41|64
42|67
43|70
44|73
45|77
46|80
47|84
48|87
49|91
50|95
51|99
52|102
53|106
54|111
55|115
56|119
57|123
58|128
59|132
60|137
61|141
62|146
63|151
64|155
65|160
66|165
67|170
68|176
69|181
70|186
71|191
72|197
73|202
74|208
75|214
76|219
77|225
78|231
79|237
80|243
81|249
82|255
83|262
84|268
85|274
86|281
87|288
88|294
89|301
90|308
91|315
92|322
93|329
94|336
95|343
96|350
97|358
98|365
99|372
100|380
101|388
102|395
103|403
104|411
105|419
106|427
107|435
108|443
109|452
110|460
111|468
112|477
113|485
114|494
115|503
116|511
117|520
118|529
119|538
120|547
121|556
122|566
123|575
124|584
125|594
126|603
127|613
128|623
129|632
130|642
131|652
132|662
133|672
134|682
135|693
136|703
137|713
138|724
139|734
140|745
141|756
142|766
143|777
144|788
145|799
146|810
147|821
148|832
149|844
150|855
151|866
152|878
153|890
154|901
155|913
156|925
157|937
158|949
159|961
160|973
161|985
162|997
163|1009
164|1022
165|1034
166|1047
167|1060
168|1072
169|1085
170|1098
171|1111
172|1124
173|1137
174|1150
175|1163
176|1177
177|1190
178|1204
179|1217
180|1231
181|1244
182|1258
183|1272
184|1286
185|1300
186|1314
187|1328
188|1342
189|1357
190|1371
191|1385
192|1400
193|1414
194|1429
195|1444
196|1459
197|1474
198|1489
199|1504
200|1519
201|1534
202|1549
203|1565
204|1580
205|1595
206|1611
207|1627
208|1642
209|1658
210|1674
211|1690
212|1706
213|1722
214|1738
215|1754
216|1771
217|1787
218|1804
219|1820
220|1837
221|1853
222|1870
223|1887
224|1904
225|1921
226|1938
227|1955
228|1972
229|1990
230|2007
231|2024
232|2042
233|2060
234|2077
235|2095
236|2113
237|2131
238|2149
239|2167
240|2185
241|2203
242|2221
243|2240
244|2258
245|2276
246|2295
247|2314
248|2332
249|2351
250|2370
251|2389
252|2408
253|2427
254|2446
255|2465
256|2485
257|2504
258|2523
259|2543
260|2562
261|2582
262|2602
263|2622
264|2642
265|2662
266|2682
267|2702
268|2722
269|2742
270|2763
271|2783
272|2803
273|2824
274|2845
275|2865
276|2886
277|2907
278|2928
279|2949
280|2970
281|2991
282|3012
283|3034
284|3055
285|3076
286|3098
287|3120
288|3141
289|3163
290|3185
291|3207
292|3229
293|3251
294|3273
295|3295
296|3317
297|3339
298|3362
299|3384
300|3407
301|3430
302|3452
303|3475
304|3498
305|3521
306|3544
307|3567
308|3590
309|3613
310|3636
311|3660
312|3683
313|3707
314|3730
315|3754
316|3778
317|3801
318|3825
319|3849
320|3873
321|3897
322|3922
323|3946
324|3970
325|3995
326|4019
327|4044
328|4068
329|4093
330|4118
331|4142
332|4167
333|4192
334|4217
335|4242
336|4268
337|4293
338|4318
339|4344
340|4369
341|4395
342|4420
343|4446
344|4472
345|4498
346|4523
347|4549
348|4575
349|4602
350|4628
351|4654
352|4680
353|4707
354|4733
355|4760
356|4787
357|4813
358|4840
359|4867
360|4894
361|4921
362|4948
363|4975
364|5002
365|5030
366|5057
367|5084
368|5112
369|5139
370|5167
371|5195
372|5223
373|5251
374|5278
375|5306
376|5335
377|5363
378|5391
379|5419
380|5448
381|5476
382|5505
383|5533
384|5562
385|5591
386|5619
387|5648
388|5677
389|5706
390|5735
391|5765
392|5794
393|5823
394|5852
395|5882
396|5911
397|5941
398|5971
399|6000
400|6030
401|6060
402|6090
403|6120
404|6150
405|6180
406|6211
407|6241
408|6271
409|6302
410|6332
411|6363
412|6394
413|6424
414|6455
415|6486
416|6517
417|6548
418|6579
419|6610
420|6641
421|6673
422|6704
423|6736
424|6767
425|6799
426|6830
427|6862
428|6894
429|6926
430|6958
431|6990
432|7022
433|7054
434|7086
435|7119
436|7151
437|7183
438|7216
439|7248
440|7281
441|7314
442|7347
443|7380
444|7412
445|7445
446|7479
447|7512
448|7545
449|7578
450|7612
451|7645
452|7678
453|7712
454|7746
455|7779
456|7813
457|7847
