second|adCount
0|50000
1|50000
2|50000
3|50000
4|50000
5|50000
6|50000
7|50000
8|50000
9|50000
10|50000
11|50000
12|50000
13|50000
14|50000
15|50000
16|50000
17|50000
18|50000
19|50000
20|50000
21|50000
22|50000
23|50000
24|50000
25|50000
26|50000
27|50000
28|50000
29|50000
30|50000
31|50000
32|50000
33|50000
34|50000
35|50000
36|50000
37|50000
38|50000
39|50000
40|50000
41|50000
42|50000
43|50000
44|50000
45|50000
46|50000
47|50000
48|50000
49|50000
50|50000
51|50000
52|50000
53|50000
54|50000
55|50000
56|50000
57|50000
58|50000
59|50000
60|50000
61|50000
62|50000
63|50000
64|50000
65|50000
66|50000
67|50000
68|50000
69|50000
70|50000
71|50000
72|50000
73|50000
74|50000
75|50000
76|50000
77|50000
78|50000
79|50000
80|50000
81|50000
82|50000
83|50000
84|50000
85|50000
86|50000
87|50000
88|50000
89|50000
90|50000
91|50000
92|50000
93|50000
94|50000
95|50000
96|50000
97|50000
98|50000
99|50000
100|50000
101|50000
102|50000
103|50000
104|50000
105|50000
106|50000
107|50000
108|50000
109|50000
110|50000
111|50000
112|50000
113|50000
114|50000
115|50000
116|50000
117|50000
118|50000
119|50000
120|50000
121|50000
122|50000
123|50000
124|50000
125|50000
126|50000
127|50000
128|50000
129|50000
130|50000
131|50000
132|50000
133|50000
134|50000
135|50000
136|50000
137|50000
138|50000
139|50000
140|50000
141|50000
142|50000
143|50000
144|50000
145|50000
146|50000
147|50000
148|50000
149|50000
150|50000
151|50000
152|50000
153|50000
154|50000
155|50000
156|50000
157|50000
158|50000
159|50000
160|50000
161|50000
162|50000
163|50000
164|50000
165|50000
166|50000
167|50000
168|50000
169|50000
170|50000
171|50000
172|50000
173|50000
174|50000
175|50000
176|50000
177|50000
178|50000
179|50000
180|50000
181|50000
182|50000
183|50000
184|50000
185|50000
186|50000
187|50000
188|50000
189|50000
190|50000
191|50000
192|50000
193|50000
194|50000
195|50000
196|50000
197|50000
198|50000
199|50000
200|50000
201|50000
202|50000
203|50000
204|50000
205|50000
206|50000
207|50000
208|50000
209|50000
210|50000
211|50000
212|50000
213|50000
214|50000
215|50000
216|50000
217|50000
218|50000
219|50000
220|50000
221|50000
222|50000
223|50000
224|50000
225|50000
226|50000
227|50000
228|50000
229|50000
230|50000
231|50000
232|50000
233|50000
234|50000
235|50000
236|50000
237|50000
238|50000
239|50000
240|50000
241|50000
242|50000
243|50000
244|50000
245|50000
246|50000
247|50000
248|50000
249|50000
250|50000
251|50000
252|50000
253|50000
254|50000
255|50000
256|50000
257|50000
258|50000
259|50000
260|50000
261|50000
262|50000
263|50000
264|50000
265|50000
266|50000
267|50000
268|50000
269|50000
270|50000
271|50000
272|50000
273|50000
274|50000
275|50000
276|50000
277|50000
278|50000
279|50000
280|50000
281|50000
282|50000
283|50000
284|50000
285|50000
286|50000
287|50000
288|50000
289|50000
290|50000
291|50000
292|50000
293|50000
294|50000
295|50000
296|50000
297|50000
298|50000
299|50000
300|50000
301|50000
302|50000
303|50000
304|50000
305|50000
306|50000
307|50000
308|50000
309|50000
310|50000
311|50000
312|50000
313|50000
314|50000
315|50000
316|50000
317|50000
318|50000
319|50000
320|50000
321|50000
322|50000
323|50000
324|50000
325|50000
326|50000
327|50000
328|50000
329|50000
330|50000
331|50000
332|50000
333|50000
334|50000
335|50000
336|50000
337|50000
338|50000
339|50000
340|50000
341|50000
342|50000
343|50000
344|50000
345|50000
346|50000
347|50000
348|50000
349|50000
350|50000
351|50000
352|50000
353|50000
354|50000
355|50000
356|50000
357|50000
358|50000
359|50000
360|50000
361|50000
362|50000
363|50000
364|50000
365|50000
366|50000
367|50000
368|50000
369|50000
370|50000
371|50000
372|50000
373|50000
374|50000
375|50000
376|50000
377|50000
378|50000
379|50000
380|50000
381|50000
382|50000
383|50000
384|50000
385|50000
386|50000
387|50000
388|50000
389|50000
390|50000
391|50000
392|50000
393|50000
394|50000
395|50000
