second|count
0|2582
1|2568
2|2553
3|2544
4|2534
5|2520
6|2511
7|2501
8|2482
9|2492
10|2468
11|2473
12|2468
13|2459
14|2449
15|2444
16|2430
17|2425
18|2416
19|2397
20|2378
21|2383
22|2383
23|2354
24|2364
25|2345
26|2359
27|2354
28|2321
29|2307
30|2331
31|2307
32|2326
33|2302
34|2307
35|2279
36|2274
37|2297
38|2269
39|2245
40|2241
41|2264
42|2203
43|2231
44|2165
45|2179
46|2160
47|2165
48|2136
49|2151
50|2141
51|2136
52|2141
53|2132
54|2141
55|2103
56|2122
57|2094
58|2051
59|2051
60|2089
61|2037
62|2089
63|2032
64|2056
65|2075
66|2046
67|2037
68|1971
69|2008
70|1985
71|2046
72|1999
73|1980
74|1923
75|1971
76|1909
77|1895
78|1895
79|1914
80|1899
81|1857
82|1885
83|1881
84|1852
85|1885
86|1833
87|1904
88|1852
89|1800
90|1805
91|1814
92|1762
93|1795
94|1767
95|1786
96|1866
97|1757
98|1772
99|1809
100|1748
101|1809
102|1786
103|1805
104|1748
105|1753
106|1734
107|1772
108|1800
109|1696
110|1776
111|1767
112|1734
113|1686
114|1682
115|1629
116|1682
117|1592
118|1644
119|1625
120|1710
121|1625
122|1719
123|1549
124|1682
125|1686
126|1587
127|1620
128|1582
129|1648
130|1525
131|1483
132|1558
133|1516
134|1639
135|1530
136|1516
137|1539
138|1539
139|1506
140|1407
141|1435
142|1511
143|1464
144|1563
145|1449
146|1378
147|1478
148|1416
149|1511
150|1407
151|1393
152|1426
153|1435
154|1478
155|1478
156|1445
157|1293
158|1302
159|1435
160|1321
161|1445
162|1307
163|1388
164|1374
165|1302
166|1255
167|1374
168|1260
169|1407
170|1317
171|1231
172|1336
173|1227
174|1208
175|1146
176|1393
177|1194
178|1302
179|1165
180|1241
181|1255
182|1274
183|1132
184|1331
185|1265
186|1255
187|1269
188|1122
189|1170
190|1066
191|1231
192|1146
193|1293
194|1236
195|1042
196|1170
197|1103
198|1279
199|999
200|1047
201|1222
202|1260
203|1231
204|1132
205|1137
206|976
207|1179
208|1222
209|1217
210|1165
211|942
212|1165
213|971
214|961
215|957
216|971
217|909
218|1122
219|995
220|942
221|1113
222|1047
223|1179
224|1070
225|1122
226|947
227|1037
228|999
229|843
230|990
231|980
232|1028
233|961
234|838
235|1023
236|833
237|848
238|881
239|919
240|1070
241|900
242|928
243|933
244|938
245|814
246|1094
247|805
248|1080
249|848
250|999
251|796
252|966
253|976
254|886
255|739
256|886
257|1051
258|814
259|772
260|1056
261|971
262|904
263|739
264|961
265|971
266|810
267|966
268|942
269|691
270|810
271|734
272|777
273|743
274|886
275|696
276|800
277|715
278|701
279|762
280|995
281|904
282|743
283|634
284|800
285|710
286|758
287|691
288|753
289|990
290|938
291|615
292|696
293|696
294|663
295|886
296|592
297|677
298|568
299|814
300|701
301|824
302|620
303|653
304|658
305|601
306|838
307|597
308|639
309|597
310|938
311|734
312|724
313|601
314|824
315|582
316|904
317|919
318|658
319|838
320|824
321|601
322|568
323|563
324|663
325|582
326|649
327|720
328|696
329|791
330|691
331|843
332|781
333|753
334|824
335|886
336|497
337|459
338|516
339|530
340|658
341|492
342|871
343|705
344|658
345|630
346|829
347|677
348|601
349|630
350|544
351|658
352|582
353|753
354|492
355|478
356|833
357|620
358|525
359|677
360|440
361|554
362|687
363|582
364|705
365|663
366|796
367|668
368|715
369|364
370|440
371|644
372|483
373|506
374|464
375|691
376|450
377|393
378|554
379|459
380|630
381|677
382|516
383|791
384|696
385|592
386|644
387|535
388|435
389|336
390|554
391|559
392|511
393|620
394|710
395|653
396|639
397|402
398|435
399|691
400|374
401|687
402|473
403|625
404|355
405|440
406|587
407|440
408|672
409|369
410|350
411|502
412|383
413|682
414|289
415|383
416|364
417|597
418|568
419|407
420|696
421|540
422|573
423|473
424|696
425|331
426|630
427|663
428|677
429|525
430|374
431|521
432|544
433|246
434|459
435|611
436|511
437|710
438|483
439|232
440|554
441|450
442|516
443|326
444|194
445|511
446|251
447|554
448|236
449|236
450|483
451|502
452|559
453|208
454|530
