second|count
0|5000
1|5000
2|5000
3|5000
4|5000
5|5000
6|5000
7|5000
8|5000
9|5000
10|5000
11|5000
12|5000
13|5000
14|5000
15|5000
16|5000
17|5000
18|5000
19|5001
20|5001
21|5001
22|5001
23|5001
24|5001
25|5001
26|5002
27|5002
28|5002
29|5002
30|5002
31|5002
32|5003
33|5003
34|5003
35|5003
36|5003
37|5004
38|5004
39|5004
40|5004
41|5004
42|5005
43|5005
44|5005
45|5005
46|5006
47|5006
48|5006
49|5007
50|5007
51|5007
52|5008
53|5008
54|5008
55|5008
56|5009
57|5009
58|5009
59|5010
60|5010
61|5011
62|5011
63|5011
64|5012
65|5012
66|5012
67|5013
68|5013
69|5014
70|5014
71|5014
72|5015
73|5015
74|5016
75|5016
76|5017
77|5017
78|5018
79|5018
80|5018
81|5019
82|5019
83|5020
84|5020
85|5021
86|5021
87|5022
88|5022
89|5023
90|5023
91|5024
92|5025
93|5025
94|5026
95|5026
96|5027
97|5027
98|5028
99|5029
100|5029
101|5030
102|5030
103|5031
104|5032
105|5032
106|5033
107|5033
108|5034
109|5035
110|5035
111|5036
112|5037
113|5037
114|5038
115|5039
116|5039
117|5040
118|5041
119|5041
120|5042
121|5043
122|5044
123|5044
124|5045
125|5046
126|5046
127|5047
128|5048
129|5049
130|5050
131|5050
132|5051
133|5052
134|5053
135|5053
136|5054
137|5055
138|5056
139|5057
140|5058
141|5058
142|5059
143|5060
144|5061
145|5062
146|5063
147|5063
148|5064
149|5065
150|5066
151|5067
152|5068
153|5069
154|5070
155|5071
156|5072
157|5072
158|5073
159|5074
160|5075
161|5076
162|5077
163|5078
164|5079
165|5080
166|5081
167|5082
168|5083
169|5084
170|5085
171|5086
172|5087
173|5088
174|5089
175|5090
176|5091
177|5092
178|5093
179|5094
180|5095
181|5096
182|5098
183|5099
184|5100
185|5101
186|5102
187|5103
188|5104
189|5105
190|5106
191|5107
192|5109
193|5110
194|5111
195|5112
196|5113
197|5114
198|5115
199|5117
200|5118
201|5119
202|5120
203|5121
204|5123
205|5124
206|5125
207|5126
208|5127
209|5129
210|5130
211|5131
212|5132
213|5134
214|5135
215|5136
216|5137
217|5139
218|5140
219|5141
220|5143
221|5144
222|5145
