second|count
0|77500
1|77542
2|77584
3|77626
4|77668
5|77710
6|77753
7|77795
8|77837
9|77879
10|77921
11|77963
12|78006
13|78048
14|78090
15|78132
16|78174
17|78217
18|78259
19|78301
20|78343
21|78385
22|78427
23|78470
24|78512
25|78554
26|78596
27|78638
28|78680
29|78723
30|78765
31|78807
32|78849
33|78891
34|78933
35|78976
36|79018
37|79060
38|79102
39|79144
40|79186
41|79229
42|79271
43|79313
44|79355
45|79397
46|79439
47|79482
48|79524
49|79566
50|79608
51|79650
52|79692
53|79735
54|79777
55|79819
56|79861
57|79903
58|79945
59|79988
60|80030
61|80072
62|80114
63|80156
64|80198
65|80240
66|80283
67|80325
68|80367
69|80409
70|80451
71|80493
72|80535
73|80578
74|80620
75|80662
76|80704
77|80746
78|80788
79|80830
80|80873
81|80915
82|80957
83|80999
84|81041
85|81083
86|81125
87|81167
88|81210
89|81252
90|81294
91|81336
92|81378
93|81420
94|81462
95|81504
96|81547
97|81589
98|81631
99|81673
100|81715
101|81757
102|81799
103|81841
104|81883
105|81926
106|81968
107|82010
108|82052
109|82094
110|82136
111|82178
112|82220
113|82262
114|82304
115|82346
116|82389
117|82431
118|82473
119|82515
120|82557
121|82599
122|82641
123|82683
124|82725
125|82767
126|82809
127|82851
128|82893
129|82935
130|82978
131|83020
132|83062
133|83104
134|83146
135|83188
136|83230
137|83272
138|83314
139|83356
140|83398
141|83440
142|83482
143|83524
144|83566
145|83608
146|83650
147|83692
148|83734
149|83776
150|83818
151|83860
152|83902
153|83944
154|83986
155|84028
156|84070
157|84112
158|84154
159|84196
160|84238
161|84280
162|84322
163|84364
164|84406
165|84448
166|84490
167|84532
168|84574
169|84616
170|84658
171|84700
172|84742
173|84784
174|84826
175|84868
176|84910
177|84952
178|84994
179|85036
180|85078
181|85120
182|85162
183|85204
184|85246
185|85288
186|85329
187|85371
188|85413
189|85455
190|85497
191|85539
192|85581
193|85623
194|85665
195|85707
196|85749
197|85791
198|85832
199|85874
200|85916
201|85958
202|86000
203|86042
204|86084
205|86126
206|86168
207|86209
208|86251
209|86293
210|86335
211|86377
212|86419
213|86461
214|86502
215|86544
216|86586
217|86628
218|86670
219|86712
220|86754
221|86795
222|86837
223|86879
224|86921
225|86963
226|87004
227|87046
228|87088
229|87130
230|87172
231|87213
232|87255
233|87297
234|87339
235|87381
236|87422
237|87464
238|87506
239|87548
240|87590
241|87631
242|87673
243|87715
244|87757
245|87798
246|87840
247|87882
248|87924
249|87965
250|88007
251|88049
252|88091
253|88132
254|88174
255|88216
256|88257
257|88299
258|88341
259|88383
260|88424
261|88466
262|88508
263|88549
264|88591
265|88633
266|88674
267|88716
268|88758
269|88799
270|88841
271|88883
272|88924
273|88966
274|89008
275|89049
276|89091
277|89133
278|89174
279|89216
280|89257
281|89299
282|89341
283|89382
284|89424
285|89465
286|89507
287|89549
288|89590
289|89632
290|89673
291|89715
292|89757
293|89798
294|89840
295|89881
296|89923
297|89964
298|90006
299|90047
300|90089
301|90131
302|90172
303|90214
304|90255
305|90297
306|90338
307|90380
308|90421
309|90463
310|90504
311|90546
312|90587
313|90629
314|90670
315|90712
316|90753
317|90795
318|90836
319|90877
320|90919
321|90960
322|91002
323|91043
324|91085
325|91126
326|91167
327|91209
328|91250
329|91292
330|91333
331|91375
332|91416
333|91457
334|91499
335|91540
336|91581
337|91623
338|91664
339|91706
340|91747
341|91788
342|91830
343|91871
344|91912
345|91954
346|91995
347|92036
348|92078
349|92119
350|92160
351|92202
352|92243
353|92284
354|92325
355|92367
356|92408
357|92449
358|92491
359|92532
360|92573
361|92614
362|92656
363|92697
364|92738
365|92779
366|92821
367|92862
368|92903
369|92944
370|92985
371|93027
372|93068
373|93109
374|93150
375|93191
376|93233
377|93274
378|93315
379|93356
380|93397
381|93438
382|93479
383|93521
384|93562
385|93603
386|93644
387|93685
388|93726
389|93767
390|93808
391|93850
392|93891
393|93932
394|93973
395|94014
396|94055
397|94096
398|94137
399|94178
400|94219
401|94260
402|94301
403|94342
404|94383
405|94424
406|94465
407|94506
408|94547
409|94588
410|94629
411|94670
412|94711
413|94752
414|94793
415|94834
416|94875
417|94916
418|94957
419|94998
420|95039
421|95080
422|95121
423|95162
424|95202
425|95243
426|95284
427|95325
428|95366
429|95407
430|95448
431|95489
432|95530
433|95570
434|95611
435|95652
436|95693
437|95734
438|95775
439|95815
440|95856
441|95897
442|95938
443|95979
444|96019
445|96060
446|96101
447|96142
448|96182
449|96223
450|96264
451|96305
452|96345
453|96386
454|96427
455|96468
456|96508
457|96549
458|96590
459|96630
460|96671
461|96712
462|96752
463|96793
464|96834
465|96874
466|96915
467|96956
468|96996
469|97037
470|97077
471|97118
472|97159
473|97199
474|97240
475|97280
476|97321
477|97362
478|97402
479|97443
480|97483
481|97524
482|97564
483|97605
484|97645
485|97686
486|97726
487|97767
488|97807
489|97848
490|97888
491|97929
492|97969
493|98010
494|98050
495|98091
496|98131
497|98171
498|98212
499|98252
500|98293
501|98333
502|98374
503|98414
504|98454
505|98495
506|98535
507|98575
508|98616
509|98656
510|98696
511|98737
512|98777
513|98817
514|98858
515|98898
516|98938
517|98979
518|99019
519|99059
520|99099
521|99140
522|99180
523|99220
524|99260
525|99301
526|99341
527|99381
528|99421
529|99462
530|99502
531|99542
532|99582
533|99622
534|99662
535|99703
536|99743
537|99783
538|99823
539|99863
540|99903
541|99943
542|99983
543|100024
544|100064
545|100104
546|100144
547|100184
548|100224
549|100264
550|100304
551|100344
552|100384
553|100424
554|100464
555|100504
556|100544
557|100584
558|100624
559|100664
560|100704
561|100744
562|100784
563|100824
564|100864
565|100904
566|100944
567|100984
568|101023
569|101063
570|101103
571|101143
572|101183
573|101223
574|101263
575|101302
576|101342
577|101382
578|101422
579|101462
580|101502
581|101541
582|101581
583|101621
584|101661
585|101700
586|101740
587|101780
588|101820
589|101859
590|101899
591|101939
592|101979
593|102018
594|102058
595|102098
596|102137
597|102177
598|102217
599|102256
600|102296
601|102336
602|102375
603|102415
604|102454
605|102494
606|102534
607|102573
608|102613
609|102652
610|102692
611|102731
612|102771
613|102811
614|102850
615|102890
616|102929
617|102969
618|103008
619|103047
620|103087
621|103126
622|103166
623|103205
624|103245
625|103284
626|103324
627|103363
628|103402
629|103442
630|103481
631|103521
632|103560
633|103599
634|103639
635|103678
636|103717
637|103757
638|103796
639|103835
640|103875
641|103914
642|103953
643|103992
644|104032
645|104071
646|104110
647|104149
648|104189
649|104228
650|104267
651|104306
652|104345
653|104385
654|104424
655|104463
656|104502
657|104541
658|104580
659|104619
660|104658
661|104698
662|104737
663|104776
664|104815
665|104854
666|104893
667|104932
668|104971
669|105010
670|105049
671|105088
672|105127
673|105166
674|105205
675|105244
676|105283
677|105322
678|105361
679|105400
680|105439
681|105478
682|105517
683|105555
684|105594
685|105633
686|105672
687|105711
688|105750
689|105789
690|105828
691|105866
692|105905
693|105944
694|105983
695|106022
696|106060
697|106099
698|106138
699|106177
700|106215
701|106254
702|106293
703|106331
704|106370
705|106409
706|106447
707|106486
708|106525
709|106563
710|106602
711|106641
712|106679
713|106718
714|106757
715|106795
716|106834
717|106872
718|106911
719|106949
720|106988
721|107026
722|107065
723|107103
724|107142
725|107180
726|107219
727|107257
728|107296
729|107334
730|107373
731|107411
732|107450
733|107488
734|107526
735|107565
736|107603
737|107642
738|107680
739|107718
740|107757
741|107795
742|107833
743|107871
744|107910
745|107948
746|107986
747|108025
748|108063
749|108101
750|108139
751|108178
752|108216
753|108254
754|108292
755|108330
756|108368
757|108407
758|108445
759|108483
760|108521
761|108559
762|108597
763|108635
764|108673
765|108712
766|108750
767|108788
768|108826
769|108864
770|108902
771|108940
772|108978
773|109016
774|109054
775|109092
776|109130
777|109168
778|109206
779|109243
780|109281
781|109319
782|109357
783|109395
784|109433
785|109471
786|109509
787|109547
788|109584
789|109622
790|109660
791|109698
792|109736
793|109773
794|109811
795|109849
796|109887
797|109924
798|109962
799|110000
800|110037
801|110075
802|110113
803|110150
804|110188
805|110226
806|110263
807|110301
808|110339
809|110376
810|110414
811|110451
812|110489
813|110527
814|110564
815|110602
816|110639
817|110677
818|110714
819|110752
820|110789
821|110827
822|110864
823|110901
824|110939
825|110976
826|111014
827|111051
828|111088
829|111126
830|111163
831|111201
832|111238
833|111275
834|111313
835|111350
836|111387
837|111424
838|111462
839|111499
840|111536
841|111573
842|111611
843|111648
844|111685
845|111722
846|111759
847|111797
848|111834
849|111871
850|111908
851|111945
852|111982
853|112019
854|112056
855|112094
856|112131
857|112168
858|112205
859|112242
860|112279
